视频网站功能清单,,,描述,,,,
Level 1,Level 2,Level 3,Level 4,Level 5,,,
电影网页的制作,首页,影视分类,前台页面需要分类展示电影资源,,,,
,电影搜索页面,,,,,,
,电影播放页面（详情页面）,评分,,,,,
,,播放功能,,,,,
,,评论,,,,,
,登录页面,手机号登录,手机号验证,,,,
,,邮箱登录,邮箱验证,,,,
,,第三方登录,,,,,
,信息修改页面,,,,,,
,用户注册页面,用户信息,,,,,
平台功能清单,搜索功能,用户输入信息时，在电影资源中搜索,搜索框输入影片名、演员名进行搜索,,,,
,,,,,,,
,推荐功能,用户登录时根据用户的信息生成推荐清单,,,,,
,,用户信息过少时使用内容推荐,,,,,
,用户管理功能,用户信息管理,新用户注册、用户登录，用户标签的选择,,,,
,,,用户信息修改,,,,
,,,,修改密码,,,
,,,,修改绑定,,,
,,,,,,,
,,,,,,,
,用户播放功能,播放记录信息,记录用户播放记录、一条记录包含播放时间、进度等,,,,
,,,,,,,
,,,,,,,
,用户评论功能,,用户对于影片评论功能,,,后续升级,评论贬褒的提取
,电影评分系统,用户行为数据获取分析,监控用户信息、用户对某个影片的行为转化为量化的分数,,,,
,,,,,,,
,二级功能,验证码功能,,,,,
待解决问题,网站方向,网站视频播放,需要爬取电影的url链接，下载电影资源过于消耗时间和存储,,,,
,,,爬虫获取电影url,,,,
,,网站主页的设计,网页数量,,,,
,,,网页功能,,,,
,推荐系统,推荐算法的选择,协同过滤推荐算法,,,,
,,,多种推荐算法结合,如果多个推荐算法使用，如何结合,,,
,,用户评分数据获取,现有数据集,,,,
,,,用户评分行为获取,,,,
,,,用户行为量化为评分,,,,
,,相似算法的选择,在协同过滤推荐算法基础下选择不同的相似性算法,,,,
,,推荐结果评价判定,如何裁定推荐结果准确性,,,,
,,,用户的结果判定具有主观性，无法通过数值量化,,,,
,,基于Sparkd的推荐推荐系统,,,,,
